run_id,dataset,condition,training_strategy,rgve_mode,seed,code_semantics_commit,execution_commit,config_ref,config_sha256,asset_id,status,U,S,H,ZS,selected_iteration,selected_stage,test_used_for_selection,output_uri,metrics_sha256,data_fingerprints_sha256,model_sha256,checkpoint_last_sha256,evaluation_history_sha256,decision
RUN-001,CUB,E2E_RGVE_OFF,end_to_end_joint,off,7,084d94aae4db17168a8ae4f0c0b8e7cb1ebe0deb,3ffb59248d397d82879e0d2bc43bbc4a645ee814,experiments/v2/confirmation/CONFIRM-011_rgve_formal/configs/RUN-001_E2E_OFF.yaml,eec26c7842c1c5cebc55cf7e6653869de51f5088f1ebd8b5643e82d90092dd5c,CUB_openai_vitl14_336_patch_v1,completed_local_observation,73.431325,80.033273,76.590293,84.486163,13818,END_TO_END,true,G:\GZSL_Warehouse\formal\v2\CONFIRM-011_rgve_formal\RUN-001,3da37e98a83c891d50decc0465c2834f0bd03e27fa6c61dbcc24d3818d27a1b3,e15f5a1c120259cdd14a384f949fec60d5d92843ab89d9d1a2081c143fa3db61,57a4233f4194bf8c07cc6e377ed99475febde3bc2793c17f695828ec925603ff,74b88b6b1df348a300bfbe507982ff23f5ad246e32ae07ce158935f4144701ba,c67d0212f8d4e4d1e3f8896ec12957760a6ca78004627c9e74a64efe9b32d3c7,retain_local_hardware_observation_exclude_server_table
RUN-002,CUB,E2E_RGVE_ON,end_to_end_joint,soft_attention_calibrated,7,084d94aae4db17168a8ae4f0c0b8e7cb1ebe0deb,,experiments/v2/confirmation/CONFIRM-011_rgve_formal/configs/RUN-002_E2E_ON.yaml,dc580e4fddac3bf2ffc4e8b645fe0a03f143eb6ff4109a5605cc9ea2c62b7c53,CUB_openai_vitl14_336_patch_v1,planned,,,,,,,true,G:\GZSL_Warehouse\formal\v2\CONFIRM-011_rgve_formal\RUN-002,,,,,,pending
RUN-003,CUB,STAGEWISE_RGVE_OFF,stagewise_50_100_50,off,7,084d94aae4db17168a8ae4f0c0b8e7cb1ebe0deb,,experiments/v2/confirmation/CONFIRM-011_rgve_formal/configs/RUN-003_STAGEWISE_OFF.yaml,23b9308880d4d81bfc8f7f5e1693dd4235082ab73765999c0bf8abde3993dbff,CUB_openai_vitl14_336_patch_v1,planned,,,,,,,true,G:\GZSL_Warehouse\formal\v2\CONFIRM-011_rgve_formal\RUN-003,,,,,,pending
RUN-004,CUB,STAGEWISE_RGVE_ON,stagewise_50_100_50,soft_attention_calibrated,7,084d94aae4db17168a8ae4f0c0b8e7cb1ebe0deb,,experiments/v2/confirmation/CONFIRM-011_rgve_formal/configs/RUN-004_STAGEWISE_ON.yaml,0a6a1fcd66e4b7b6752b2a0bbfc7955c302417fad616c394715bf355412fdd8b,CUB_openai_vitl14_336_patch_v1,planned,,,,,,,true,G:\GZSL_Warehouse\formal\v2\CONFIRM-011_rgve_formal\RUN-004,,,,,,pending
