run_id,condition,dataset,mean8_baseline_H,formal_H,updates,eval_interval,seed,head_base,source_frozen,s_grad_source,vi_grad_source,code_commit,config_sha,status,U,S,H,ZS,best_update,delta_H_cond_minus_mean8,delta_H_vs_formal,decision,output_uri
BASELINE-B0,B0,CUB,68.750566,80.510432,0,141,7,mean8,true,seen_only_ce,class_held_out_outer_ce,28331743292857aa0a225992c39694948026dac6,1f181b3366c1a015130737149aa6ffcda0c659fb0330db7c791fec6de2665279,completed,69.136261,68.369150,68.750566,86.146760,0,0.000000,-11.759866,zero_training_mean8_baseline,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v7/V7-ABLATION-004_NO_PARENT_HEAD/BASELINE-B0
RUN-FULL,Full,CUB,68.750566,80.510432,28228,141,7,mean8,true,seen_only_ce,class_held_out_outer_ce,28331743292857aa0a225992c39694948026dac6,1f181b3366c1a015130737149aa6ffcda0c659fb0330db7c791fec6de2665279,completed,76.349747,79.260629,77.777962,87.180197,27213,9.027396,-2.732469,diagnose_no_parent_ablation,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v7/V7-ABLATION-004_NO_PARENT_HEAD/RUN-FULL
RUN-S-OFF,S-off,CUB,68.750566,80.510432,28228,141,7,mean8,true,seen_only_ce,class_held_out_outer_ce,28331743292857aa0a225992c39694948026dac6,8957aa70fd12058f05bf3a0918aac5a9b601e3ef10e219f8166cfaa293ff2cff,completed,72.072846,76.055366,74.010570,82.854766,9729,5.260003,-6.499862,diagnose_no_parent_ablation,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v7/V7-ABLATION-004_NO_PARENT_HEAD/RUN-S-OFF
RUN-V-OFF,V-off,CUB,68.750566,80.510432,28228,141,7,mean8,true,seen_only_ce,class_held_out_outer_ce,28331743292857aa0a225992c39694948026dac6,3b9230fe0850471dc864327413ff2a6740d48812d223c02059023b0b4666a202,completed,78.680176,63.951403,70.555310,86.334091,19176,1.804744,-9.955122,diagnose_no_parent_ablation,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v7/V7-ABLATION-004_NO_PARENT_HEAD/RUN-V-OFF
RUN-I-OFF,I-off,CUB,68.750566,80.510432,28228,141,7,mean8,true,seen_only_ce,class_held_out_outer_ce,28331743292857aa0a225992c39694948026dac6,fcc51b123c4a1ace2ea224698f90a2c5cd0f9adc93f1af48fc50b44502270b77,completed,78.947043,63.304627,70.265792,86.192983,13536,1.515226,-10.244640,diagnose_no_parent_ablation,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v7/V7-ABLATION-004_NO_PARENT_HEAD/RUN-I-OFF
RUN-VI-OFF,V+I-off,CUB,68.750566,80.510432,28228,141,7,mean8,true,seen_only_ce,class_held_out_outer_ce,28331743292857aa0a225992c39694948026dac6,1c8d09eea71d5e647cd506621979cb03ed841d074883cd610167d1ba21abceea,completed,78.947043,63.304627,70.265792,86.192983,13536,1.515226,-10.244640,diagnose_no_parent_ablation,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v7/V7-ABLATION-004_NO_PARENT_HEAD/RUN-VI-OFF
