run_id,code_commit,config_ref,config_sha256,seed,status,U,S,H,ZS,selected_iteration,base_beta,learned_delta,test_used_for_selection,output_uri,decision
RUN-001,4645ae475cd6908034ab067989a5c5324dd794f9,experiments/v2/innovation/INNOVATION-012_sdrs/configs/RUN-001.yaml,74ec5c333393bf38a0739c34603666b4190cba406fd1e85c5418df306494516f,5,completed,75.029516,79.568261,77.232263,83.028460,0,17.151897,0.049998,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-012_sdrs/RUN-001,keep_marginal_overcorrection
RUN-002,,experiments/v2/innovation/INNOVATION-012_sdrs/configs/RUN-002.yaml,6a9733b11a95fd52135853467109299eebaaaaf8c9f0c09a71dde7725f440f2e,5,planned,,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-012_sdrs/RUN-002,pending
