run_id,dataset,strategy,seed,code_semantics_commit,config_ref,config_sha256,asset_id,status,U,S,H,ZS,selected_iteration,selected_stage,test_used_for_selection,output_uri,metrics_sha256,data_fingerprints_sha256,decision
CUB-STAGEWISE-TEXT-V2-S7,CUB,stagewise_50_100_50,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-004_text_v2_training_strategy/configs/CUB-STAGEWISE-TEXT-V2-SEED7.yaml,57eaefae8bb2efc9fff860b5fadbce0c7aba9c831cc47adb9a86f1d2fcba6aa7,69c9c6d82a755fe8,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-004_text_v2_training_strategy/CUB-STAGEWISE-TEXT-V2-S7,,,run
AWA2-STAGEWISE-TEXT-V2-S7,AWA2,stagewise_50_100_50,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-004_text_v2_training_strategy/configs/AWA2-STAGEWISE-TEXT-V2-SEED7.yaml,8b44648120f0da671d0164fd4248a27162a897d3028caa2da56eb38c904ac559,7f0e1989635ca98d,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-004_text_v2_training_strategy/AWA2-STAGEWISE-TEXT-V2-S7,,,run
SUN-STAGEWISE-TEXT-V2-S7,SUN,stagewise_50_100_50,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-004_text_v2_training_strategy/configs/SUN-STAGEWISE-TEXT-V2-SEED7.yaml,2d7c2470780cea92877f636f0f772cb2bdbc75141f4c55a46b324c589d344bf9,bfe12cda3c37abdb,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-004_text_v2_training_strategy/SUN-STAGEWISE-TEXT-V2-S7,,,run
