run_id,source_attempt,condition,seed,code_commit,U,S,H,ZS,delta_parent_H,best_epoch,beta,output_uri,metrics_sha256,training_log_sha256,model_sha256
RUN-001,V2-TRY-098,CCGR_plus_ARA_SDM_off,7,88709daa9fa2c9ab71b207b2775bff76bdafa98c,73.819321,85.741270,79.334907,86.156386,1.787637,11,15.367805,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-098,1972d0308603bb8d5956a2a47ecb92642cf97fb1ab7b39f1f734f88b57edbb70,ae42ce9cafc88a8dd5b19c8e4f2f2626a17b975902395b7fed9d476452d2b448,7ab45f8b6ae33668f81149a6eae4e5341654928d342b6858aa936d18f3efa4f5
RUN-002,V2-TRY-096,CCGR_plus_ARA_SDM_off,17,5d15b482aeb11c1b55dd905ef3b2d8b37105d9b0,74.236083,85.303891,79.386082,86.028028,1.813400,7,13.814152,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-096,802e729e5b3d5278ba2b56764d7b36d58ee549bf8d579e70b9227230265ea60a,a4938b4f0dfef2ed48eec92d6c2c0fb0f75f599540b87098808548ce32842d41,7b94df9c6988dd4cf8291c1a45c6879a32e895fc1dadef8c494929ee0018db60
RUN-003,V2-TRY-099,CCGR_plus_ARA_SDM_off,27,88709daa9fa2c9ab71b207b2775bff76bdafa98c,73.856062,85.530150,79.265577,85.956389,1.704937,8,14.354399,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-099,1553bbdb96395100a1472bb60395f4e343cd4a5dcde32ac4a120dedb5952c742,8a0a0991d9a73dee2258ed11245734318252e4dac443486338f76db55e6b4d28,5fecb3c1b7005b13e4d595d7b80577fe714ff632e7c05831099d51248bf2e50a
RUN-004,V2-TRY-100,CCGR_plus_ARA_SDM_off,37,88709daa9fa2c9ab71b207b2775bff76bdafa98c,73.823303,85.609722,79.280845,85.989732,1.776917,8,14.332790,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-100,ce3507f75d05d5b8a3398dad19dbd6ecd07a59e7a9f2bdb6383bd7cd58a01174,6d1876f287b77bb232f997521a5cd862fad077eb8706d307bf7c3a506a6a84df,d8f6d1c5bd1e50f6307040c349d59e21f66245b4121bbb2068678f544f7bd4e0
RUN-005,V2-TRY-092,CCGR_plus_SDM_plus_ARA,17,75b8f32cbb0b180969358a5628f74b0fec3fc56b,73.954368,85.495055,79.307063,86.089158,1.694075,7,13.706591,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-092,c12cf8f2624b3b1d826b8ab02c629279a661714667dd031f64c4aa10daed5902,ee386cafe522d2defdc88db102021bb91edbc254df3dc4a1d3eb244c27f60bb0,242937109cda3133a437628a2f1c50ef96df7ac09a606a626a4e21e62f5410a4
RUN-006,V2-TRY-097,NTR_plus_ARA_CCGR_off_SDM_off,17,5745ed79319536cd09791ed4c2076a6fa2a4aef5,73.086649,85.878712,78.967987,85.967135,1.881451,20,16.892595,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-097,c56adfc2e9cc2889d02940f66fa538efa036e453558e265bd1f7181f841b9728,08d099a23488046a7ee38e6e0e818713eecfb33b22cf74059d76838664e7c39d,602e25f2fa994a19dc4c55f15b6c0c93f6000dd9a4a24681d5c2954ce471ab84
