run_id,stage,condition,code_commit,config_ref,config_sha256,seed,dataset_split,evaluation_protocol,status,U,S,H,ZS,reported_epoch,test_used_for_selection,log_uri,model_uri,decision
RUN-001,confirmation,unified_full_seen_fixed_epoch,8066cce8c2c9a9ecdeb473597202f3e98925dea2,experiments/v2/confirmation/CONFIRM-002_unified_seen_training/configs/RUN-001.yaml,fcf73180a4713c42abd7543aab740b5111831a6e3064ed860375c6276bdf1181,7,CUB_standard_trainval_7057_seen150,fixed_epoch_inductive_gzsl,completed,72.066391,77.308381,74.595407,79.640341,50,false,/data/lby/projects/cv_project/GZSL_Warehouse/runs/v2/CONFIRM-002_unified_seen_training/RUN-001/training.log,/data/lby/projects/cv_project/GZSL_Warehouse/runs/v2/CONFIRM-002_unified_seen_training/RUN-001/model_best.pth,keep_clean_gain_but_seen_biased
RUN-002,control,tg_vpr_only_full_seen_fixed_epoch,7dae7b8ba78c0a497a46fafb9577f53c0bb3354b,experiments/v2/confirmation/CONFIRM-002_unified_seen_training/configs/RUN-002.yaml,fc84d4a24995341478e87974febb163e0c5b677cecd9c887e021f8290171e372,7,CUB_standard_trainval_7057_seen150,fixed_epoch_inductive_gzsl,completed,73.326439,74.331790,73.825692,81.534684,50,false,/data/lby/projects/cv_project/GZSL_Warehouse/runs/v2/CONFIRM-002_unified_seen_training/RUN-002/training.log,/data/lby/projects/cv_project/GZSL_Warehouse/runs/v2/CONFIRM-002_unified_seen_training/RUN-002/model_best.pth,control
