run_id,code_commit,config_ref,config_sha256,seed,status,U,S,H,ZS,selected_iteration,tie_beta,margin_threshold,seen_gate,unseen_gate,test_used_for_selection,output_uri,decision
RUN-001,0087de74602639bb8e95fbf63ebf7f9d20cd59eb,experiments/v2/innovation/INNOVATION-058_agct/configs/RUN-001.yaml,7879eece0dd410864823addc770f3292408b9d9a1045883522763959715c260e,5,completed,76.647568,80.107862,78.339523,83.888441,17625,-2.033723,0.542624,0.152989,0.182175,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-058_agct/RUN-001,keep_weak_test_seed7
RUN-002,18d9d9aa964f51d5ccd109c8a5731673238256bd,experiments/v2/innovation/INNOVATION-058_agct/configs/RUN-002.yaml,b9f75769aac9fd57c7f59e8f9c5256569d2145f821c30ec96073e6bee60ecb60,7,completed,76.647568,80.107862,78.339523,83.854544,15369,-1.962573,0.547560,0.154157,0.183605,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-058_agct/RUN-002,keep_two_seed_weak_gain
RUN-003,7d37ff2e369bbce98fd8406e968d2003ba406062,experiments/v2/innovation/INNOVATION-058_agct/configs/RUN-003.yaml,6eda45f78f00a029153b2d562605397fc1ac2c913f5ab0ef4c703424a08fceaa,5,completed,76.747000,79.959893,78.320510,83.953977,-1,0.000000,0.984965,0.239759,0.305713,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-058_agct/RUN-003,drop_coverage_too_broad
RUN-004,ab23201c259feb8b3a0920cb44e72dc6c5176771,experiments/v2/innovation/INNOVATION-058_agct/configs/RUN-004.yaml,41b75a995fc0e29a36f5f1d71b03b27f396049e06520cccc4edf812ea20cc4c0,5,completed,76.681465,80.107862,78.357224,83.888441,7755,-2.309143,0.236863,0.074414,0.087582,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-058_agct/RUN-004,keep_test_seed7_precision
RUN-005,34ca5d40051a57356ea46097be4d48e1314a0ff3,experiments/v2/innovation/INNOVATION-058_agct/configs/RUN-005.yaml,65294b050d9fa8ab01442d0ceaf88367dd6d99aab50859bbec915acf2aa6c6f7,7,completed,76.647568,80.107862,78.339523,83.854544,8883,-2.256506,0.237726,0.074652,0.087829,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-058_agct/RUN-005,keep_precision_two_seed
