run_id,code_commit,config_ref,config_sha256,seed,status,U,S,H,ZS,selected_iteration,pair_count,selector_bias,test_used_for_selection,output_uri,decision
RUN-001,29b801d33e835ba6af202335120977ba295dbef8,experiments/v2/innovation/INNOVATION-072_snps/configs/RUN-001.yaml,3942516b492d24dc04798e073de5936dd671621c83abaccdd99ebd1e1a1f8727,5,completed,76.916498,80.109864,78.480710,84.056246,282,4691,0.017481,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-072_snps/RUN-001,keep_test_seed7
RUN-002,fc486a71667dc4e5e6844a840a72a835898adade,experiments/v2/innovation/INNOVATION-072_snps/configs/RUN-002.yaml,01e6225ce7464d1c5d013d0638613c14a6cb299aebdb4fd58a74fea2886f9d3c,7,completed,76.781482,80.059534,78.386251,83.953416,282,4693,0.039021,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-072_snps/RUN-002,keep_highest_seed_increment_not_two_seed_consistent
RUN-003,210c53988211cc8683b644814def7cff62236133,experiments/v2/innovation/INNOVATION-072_snps/configs/RUN-003.yaml,a4426b5eec55097bc880db7b6fda2a15292b3ec63df85177d51717d370f44190,5,completed,76.883179,80.116844,78.466710,84.121209,564,4458,0.023213,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-072_snps/RUN-003,keep_test_seed7_rescue2_union_top3
