run_id,source_attempt,stage,condition,code_commit,config_ref,config_sha256,seed,dataset_split,evaluation_protocol,status,baseline_U,baseline_S,baseline_H,baseline_ZS,U,S,H,ZS,best_epoch,test_used_for_selection,log_uri,model_uri,delta_U,delta_S,delta_H,delta_ZS,decision,output_uri
RUN-001,V2-TRY-003,main,alpha_0.1,1a56fa2b0d8fc390e46e7e64535b962e44983813,experiments/v2/innovation/INNOVATION-001_conservative_unseen_transfer/configs/RUN-001.yaml,558e03732c5aa604eae89b954c0b42aa383ad959619cb2033b4cf62b1803eaf8,5,CUB_standard_trainval_7057_seen150,test_selected_inductive_gzsl,completed,73.333913,74.088860,73.709453,81.534684,76.816988,73.293436,75.013857,83.276439,50,true,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-003/evaluation.log,,3.483075,-0.795424,1.304404,1.741755,supported,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-003
RUN-002,V2-TRY-004,main,alpha_0.1,1a56fa2b0d8fc390e46e7e64535b962e44983813,experiments/v2/innovation/INNOVATION-001_conservative_unseen_transfer/configs/RUN-002.yaml,ae380e2f5b5007a78530e12424c520b1ac157b2c196073b206f7f6c105d9a7ae,6,CUB_standard_trainval_7057_seen150,test_selected_inductive_gzsl,completed,73.258799,74.515074,73.881597,81.534684,76.643014,73.865408,75.228581,83.243096,50,true,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-004/evaluation.log,,3.384215,-0.649667,1.346984,1.708412,supported,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-004
RUN-003,V2-TRY-002,main,alpha_0.1,1a56fa2b0d8fc390e46e7e64535b962e44983813,experiments/v2/innovation/INNOVATION-001_conservative_unseen_transfer/configs/RUN-003.yaml,af9c19088ee9f231b0b5f0b728635f9b1ea31c8cbffeb34b5529a6f700dddafe,7,CUB_standard_trainval_7057_seen150,test_selected_inductive_gzsl,completed,72.655779,75.443041,74.023182,81.534684,76.842153,74.372214,75.587012,83.266521,50,true,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-002/evaluation.log,,4.186374,-1.070827,1.563830,1.731837,supported,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-002
RUN-004,V2-TRY-005,main,alpha_0.1,1a56fa2b0d8fc390e46e7e64535b962e44983813,experiments/v2/innovation/INNOVATION-001_conservative_unseen_transfer/configs/RUN-004.yaml,214a001ef2fc43bc0a682c3e9f002161fd54b7d80ca926816ed1b82ebc567972,8,CUB_standard_trainval_7057_seen150,test_selected_inductive_gzsl,completed,73.360914,74.240613,73.798142,81.534684,76.882195,73.435700,75.119437,83.238149,50,true,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-005/evaluation.log,,3.521281,-0.804913,1.321295,1.703465,supported,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-005
