run_id,condition,source_ref,code_commit,U,S,H,ZS,delta_H_previous,delta_H_base,output_uri
RUN-001,TG-VPR,V2-CONFIRM-001/RUN-001,3dc078c0d52bf358bf24a26e48346c97de9e99ca,72.655779,75.443041,74.023182,81.534684,0.000000,0.000000,/data/lby/projects/cv_project/GZSL_Warehouse/runs/v2/CONFIRM-001_v2_baseline/RUN-001
RUN-002,+TST,V2-TRY-015,0b919b14f052ec5e3f99378383e94053a2cf45ae,74.225152,79.957026,76.984545,81.264132,2.961363,2.961363,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-015
RUN-003,+NTR,V2-TRY-028,42cd4457a65f89023ff342ba13679471d5db0942,74.319029,80.068129,77.086536,81.430238,0.101991,3.063354,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-028
RUN-004,+CCGR_tuned,V2-TRY-078,12e8c99bb377e9b31ba7621575c2d9de498027fd,74.694091,80.682039,77.572682,81.838036,0.486146,3.549500,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-078
RUN-005,+CRA,V2-TRY-104,c20f734cf910325ade95f2a8ef25c353c57f56fb,75.319785,84.055454,79.448210,86.219549,1.875528,5.425028,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-104
RUN-006,+VPA,V2-TRY-118,4b3b2d4cedc599165d03018917ed768291cacc69,74.306595,85.574788,79.543609,87.125778,0.095399,5.520427,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-118
RUN-007,+VEBC,V2-TRY-121,01470a4f0e0f450a95fc0c70c743d8cad76b9e8e,77.077311,84.184039,80.474080,87.125778,0.930471,6.450898,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-121
RUN-008,+JBEC,V2-TRY-131,df3eaab8bb373e6d6773bdda00adf25803b95df3,77.045119,84.241509,80.482768,87.227464,0.008688,6.459586,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-131
RUN-009,+CNRA,V2-TRY-138,bb0e66e3364fae56aef61663541fc2f891a727c5,77.406234,84.313953,80.712565,87.423056,0.229797,6.689383,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-138
