run_id,dataset,text_version,asset_id,code_semantics_commit,config_ref,config_sha256,status,official_test_loaded,seen_images_only,corresponding_cosine_mean,hardest_negative_margin_mean,visual_to_text_top1,text_to_visual_top1,role_pairwise_cosine_mean,output_uri,decision
CUB-TEXT-V1-DIAGNOSTIC,CUB,text-v1+old-diagnostic,f61a4af0d7644477,1114231cb1728e85f657a98bd361322de7dde5b7,experiments/v2/tune/TUNE-005_seen_only_text_assets/configs/CUB-TEXT-V1.yaml,fc34dcc64d21eb48d7d58cd3e6a5c8d421084635f8432f4e2118a31cd2fe81f9,planned,false,true,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/diagnostics/v2/TUNE-005_seen_only_text_assets/CUB-TEXT-V1-DIAGNOSTIC,run
AWA2-TEXT-V1-DIAGNOSTIC,AWA2,text-v1,803b2f38aae164e5,1114231cb1728e85f657a98bd361322de7dde5b7,experiments/v2/tune/TUNE-005_seen_only_text_assets/configs/AWA2-TEXT-V1.yaml,67ceec63d2173ed8479465a08f22547a6c961fdbde7e304858352f7f60a24782,planned,false,true,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/diagnostics/v2/TUNE-005_seen_only_text_assets/AWA2-TEXT-V1-DIAGNOSTIC,run
SUN-TEXT-V1-DIAGNOSTIC,SUN,text-v1,baaea1e1bfdc31e4,1114231cb1728e85f657a98bd361322de7dde5b7,experiments/v2/tune/TUNE-005_seen_only_text_assets/configs/SUN-TEXT-V1.yaml,c3d8ece041d5fa4a8617401e49217cbfb321402bf92f45afe3d836ce74b741f9,planned,false,true,,,,,,/data/lby/projects/cv_project/GZSL_Warehouse/diagnostics/v2/TUNE-005_seen_only_text_assets/SUN-TEXT-V1-DIAGNOSTIC,run
