attempt_id,idea_id,code_commit,config_ref,change,seed,status,U,S,H,ZS,best_epoch,decision,output_uri
V2-TRY-001,IDEA-002,68743efc0eb1edc48a253b21fd1e6c3bf1415f89,config/tg_vpr_h1.yaml,eval_only_shared_value_to_unseen,7,completed,36.994851,88.998413,52.264429,75.146323,50,drop,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-001
V2-TRY-002,IDEA-002,1a56fa2b0d8fc390e46e7e64535b962e44983813,config/tg_vpr_h1.yaml,eval_only_unseen_value_blend_alpha_0.1,7,completed,76.842153,74.372214,75.587012,83.266521,50,promote,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-002
V2-TRY-003,IDEA-002,1a56fa2b0d8fc390e46e7e64535b962e44983813,config/tries/v2_unseen_transfer_seed5.yaml,multiseed_proof_alpha_0.1,5,completed,76.816988,73.293436,75.013857,83.276439,50,promote,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-003
V2-TRY-004,IDEA-002,1a56fa2b0d8fc390e46e7e64535b962e44983813,config/tries/v2_unseen_transfer_seed6.yaml,multiseed_proof_alpha_0.1,6,completed,76.643014,73.865408,75.228581,83.243096,50,promote,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-004
V2-TRY-005,IDEA-002,1a56fa2b0d8fc390e46e7e64535b962e44983813,config/tries/v2_unseen_transfer_seed8.yaml,multiseed_proof_alpha_0.1,8,completed,76.882195,73.435700,75.119437,83.238149,50,promote,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v2/V2-TRY-005
