run_id,code_commit,config_ref,config_sha256,seed,status,U,S,H,ZS,selected_iteration,test_used_for_selection,output_uri,decision
RUN-001,dc84eed0e9155d3abfa93b0de79644e46e423b94,experiments/v2/innovation/INNOVATION-010_sccc/configs/RUN-001.yaml,048f7657718c1b47e334127887ba7deeb3ccf877227c84df863217a8f3b3fe24,5,completed,76.986635,75.232518,76.099469,82.930040,25803,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-010_sccc/RUN-001,revise_gamma_direction
RUN-002,,experiments/v2/innovation/INNOVATION-010_sccc/configs/RUN-002.yaml,25d0ace98d3212e9b8d6e64b47b5e562bf505db30da759490fdb411b10b3c869,5,planned,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-010_sccc/RUN-002,pending
