run_id,condition,code_commit,config_ref,config_sha256,seed,topology_weight,max_transport_step,max_generator_magnitude,status,selected_epoch,mean_U,mean_S,mean_H,mean_ZS,min_H,max_H,range_H,test_used_for_selection,output_uri,decision
RUN-001,baseline_topology_0_1_transport_1_5_ccgr_0_2,eebc7dc163228007012a4f4e6cef75fe2cc7cc47,experiments/v2/tune/TUNE-003_pure_threefold_hparams/configs/RUN-001.yaml,8b5c4ad77ab2aa8072d945c793ed6d8241d8542ede88016feaec9cf718580f8b,7,0.1,1.5,0.2,completed,17,74.925892,77.350948,76.113854,79.673799,75.703050,76.735867,1.032817,false,/data/lby/projects/cv_project/GZSL_Warehouse/validation/v2/TUNE-003_pure_threefold_hparams/RUN-001,baseline_for_topology_tuning
RUN-002,topology_0_03,524cd553eaf76ca4daa5a49d6c296e46d078faad,experiments/v2/tune/TUNE-003_pure_threefold_hparams/configs/RUN-002.yaml,abd80d3629fc50ecae41786c5b7478646747a6a769b565f3555c851012509462,7,0.03,1.5,0.2,completed,17,75.125722,77.030581,76.061602,79.762876,75.381345,77.127532,1.746188,false,/data/lby/projects/cv_project/GZSL_Warehouse/validation/v2/TUNE-003_pure_threefold_hparams/RUN-002,drop_lower_h_higher_range
RUN-003,topology_0_2,524cd553eaf76ca4daa5a49d6c296e46d078faad,experiments/v2/tune/TUNE-003_pure_threefold_hparams/configs/RUN-003.yaml,3c146359fa90a8595c0612fae3a998f9f413da0e0e5082d00a9dd003634598a9,7,0.2,1.5,0.2,completed,24,74.431213,78.602773,76.460115,79.591872,76.195056,76.948919,0.753863,false,/data/lby/projects/cv_project/GZSL_Warehouse/validation/v2/TUNE-003_pure_threefold_hparams/RUN-003,drop_u_zs_below_baseline
