run_id,dataset,condition,training_strategy,seed,code_semantics_commit,execution_commit,config_ref,config_sha256,asset_id,status,U,S,H,ZS,selected_iteration,selected_stage,test_used_for_selection,output_uri,metrics_sha256,data_fingerprints_sha256,model_sha256,checkpoint_last_sha256,evaluation_history_sha256,decision
CUB-B0-TEXT-V2-S7,CUB,B0_PURE_CLIP,no_training,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/CUB-B0_PURE_CLIP.yaml,2e10ded59fd75bd3ab50697fccbe3623837ee442a666f7b8e5483f7aff559f61,69c9c6d82a755fe8,completed,62.210929,64.205813,63.192632,79.580778,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/CUB-B0-TEXT-V2-S7,713b94ad7ac1e8d0b384962eb1b36b4330a61d8eaf996afdc9066b84d382bf73,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,e0847ee2742e434b2792cc3c2c8cff1483d9a96bbc5087db7b51f81cab91870f,e0847ee2742e434b2792cc3c2c8cff1483d9a96bbc5087db7b51f81cab91870f,256a93828636ce06ab5a135a19281be2957fa24abb2115ac1b2684836b60e4f7,reproduced_exact
CUB-B1-TEXT-V2-S7,CUB,B1_MEAN8,no_training,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/CUB-B1_MEAN8.yaml,6f8418b2fb01e24979e02944bb87421bb1fb7996e52160fb0e218a2b522c3448,69c9c6d82a755fe8,completed,69.102371,68.327487,68.712744,86.180097,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/CUB-B1-TEXT-V2-S7,d91332120ecf2f952691a8fd9f0c47d1598d9fbee0467464b7183de5d7974028,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,e3431ad3702d847660045068ba1c0b3599b3db8caafab6cbeceba0ac8c318c33,e3431ad3702d847660045068ba1c0b3599b3db8caafab6cbeceba0ac8c318c33,73a6ca6bfa325353c540b1c082bc62d8ed71e419be67675811658fd7a7a0079d,pass_text_recovery
CUB-M3-E2E-TEXT-V2-S7,CUB,M3_CCGR,end_to_end_joint,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/CUB-M3_END_TO_END_SEED7.yaml,930b05e6ce465a7a8b1436db884fdbfa90cb657da9635bc5ae737c1be943c1ac,69c9c6d82a755fe8,completed,73.116457,79.941404,76.376766,83.065230,16497,END_TO_END,true,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/CUB-M3-E2E-TEXT-V2-S7,f82ed7c5061fd8b9cd02e337094a4de30be7a749ea104f33ac1eee2cb39eda3f,cb56097b3aa42d28c40b41f1155491cf9391a5db62e0e1604ebdb987d40a13c3,5cd90000dd581b04fc309246464da27fcf64360e8cec305b543ff8a77cf90c39,18eef186ef19ec67c7f547bedca3781e564fc02aef8fe6921d39693b3a3bbf75,0986cc03a5e9aef2eab814c8ba57e45da4ff55d2e2b3b465aa9e840cb99aa115,pass_plus3
AWA2-B0-TEXT-V2-S7,AWA2,B0_PURE_CLIP,no_training,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/AWA2-B0_PURE_CLIP.yaml,5b8f20997412ae01d0cb8058b256dd86ab6f21eb19774104d445639faf3cf71d,7f0e1989635ca98d,completed,93.470895,95.756006,94.599653,97.444248,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/AWA2-B0-TEXT-V2-S7,be3cd8550712a2a4698de75af1e0b56bb96d3a3bfd9e71d74a110dc9ef056268,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,7cb03ec586f14d39559496a3779509173ff2889c9debe7084fceda20689eb614,7cb03ec586f14d39559496a3779509173ff2889c9debe7084fceda20689eb614,5e592522e95574dac95e923fb6656e008653f348f8d826f69cf2c942558a23b5,reproduced_exact
AWA2-B1-TEXT-V2-S7,AWA2,B1_MEAN8,no_training,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/AWA2-B1_MEAN8.yaml,890babd7986f8f45ad92fcc230164dc8023cbdf85dbb0941e71b10b4074c7a72,7f0e1989635ca98d,completed,94.698161,95.832998,95.262200,99.173242,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/AWA2-B1-TEXT-V2-S7,a580efe95694b3d5a3e629725df06db6fbb565b3e583f6105bb8ac4a260e99d4,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,7c9272a656222332146a8ec4eaa89cd70d840363c4043e0f9f8253b4613e6c63,7c9272a656222332146a8ec4eaa89cd70d840363c4043e0f9f8253b4613e6c63,c3d286cc7246dada614190ed1d4a485ec99314c95b6ad6fee4322ac686a2dfa3,pass_text_recovery
AWA2-M3-E2E-TEXT-V2-S7,AWA2,M3_CCGR,end_to_end_joint,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/AWA2-M3_END_TO_END_SEED7.yaml,d41b88560d7395d028263397540e783d8ddce2d40a7873d4e1ed89084526d781,7f0e1989635ca98d,completed,96.951926,95.689601,96.316627,98.937798,88360,END_TO_END,true,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/AWA2-M3-E2E-TEXT-V2-S7,28015c5a1f929d68e4e739f570f4813db5ba5e62ed9c856f579ffa87de5b2c20,c1a7275170b661e49823fa4f7d8f28f3640ec7da9cba7514df1cf7da07325475,7bbe5cdcecfbbe81a4aea0d5aa904deb35f2f3aee1154d03d0b7a73af4a19bcf,1ad89e5ecd3b857be7b882ad9c7c3b317983975bca38d8628f636d76e082640f,13d9a906b8a696eda2a1f1df9b18fb46279876de99f97f55068783f563ab0344,keep_gain_fail_plus3
SUN-B0-TEXT-V2-S7,SUN,B0_PURE_CLIP,no_training,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/SUN-B0_PURE_CLIP.yaml,25ee0b74fb5c8329426b8525e71341c3b734ffdf6768f8e359e9ea45e800491d,bfe12cda3c37abdb,completed,60.138887,57.868218,58.981707,88.958329,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/SUN-B0-TEXT-V2-S7,8e30d790420a9c89e0e7828efd56270d10e6d4e8419610119190883381c60b61,f8e52771d480843dae358c142dd0c088a328dc4b4cc48938e5d940be811c2ebd,ff70e3ffca68916034363c54a16f7e293805521cf52caf2dd604d09fc6c4e26a,ff70e3ffca68916034363c54a16f7e293805521cf52caf2dd604d09fc6c4e26a,b846e305815b9f67965a505c43d224fae434b0f885c8839777192f6883b23312,reproduced_exact
SUN-B1-TEXT-V2-S7,SUN,B1_MEAN8,no_training,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/SUN-B1_MEAN8.yaml,bfa2034743574ccf72ac24bd69774651dfb5381ae40b5a51c7c6579cd122bba4,bfe12cda3c37abdb,completed,62.847221,64.108527,63.471608,91.527772,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/SUN-B1-TEXT-V2-S7,626d19c2b3980192b0059a68c25de450b27d90b399b0eab211ca668c5fefe547,f8e52771d480843dae358c142dd0c088a328dc4b4cc48938e5d940be811c2ebd,bbbaa4c609e87f72c7d7be5d775ce42e510b0a2eb2b7048a695b9ee1af9fafbd,bbbaa4c609e87f72c7d7be5d775ce42e510b0a2eb2b7048a695b9ee1af9fafbd,4f5623e72ca37c3844a117a92c8246a717497f3f7cbcd101f75706336a6e32e5,pass_text_recovery
SUN-M3-E2E-TEXT-V2-S7,SUN,M3_CCGR,end_to_end_joint,7,b7e25c2758da896411236c2ea60662439a01244b,e8238c91cf7d7ba9693072af67ca3f1f2877c83a,experiments/v2/confirmation/CONFIRM-010_text_v2_recovery/configs/SUN-M3_END_TO_END_SEED7.yaml,8a4e78da8a348d6937a55a26569f43ad18b8b0c3b706b15fba8767b99882cdab,bfe12cda3c37abdb,completed,72.361112,70.038760,71.180998,88.611114,25132,END_TO_END,true,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-010_text_v2_recovery/SUN-M3-E2E-TEXT-V2-S7,4af36afc9721661a0d58cb8324030816f7763e6240eca2937156c8da687b7d29,f8e52771d480843dae358c142dd0c088a328dc4b4cc48938e5d940be811c2ebd,c088dd425c61aaf94f2f838115e5f926dd39845068d7c8dfd3102ce9dd005ac4,d660a07a07cc191521a2706c2f97ca2cb748382e39b786cbe33dc4c36c0f4163,d2b8d3ee0fcb110e1934967b0bf46000337b1dc874d381a2c00ad30e5bfe873a,pass_plus3
