run_id,condition,module,run_commit,config_ref,config_sha256,seed,batch_size,nominal_epochs,total_updates,eval_interval,tg_lr,module_lr,status,U,S,H,ZS,best_update,add_H,remove_H,output_uri,decision
V3-TRY-048,TG_PLUS_GTD_FRESH_CONTROL,gtd,7d184a41b8bc9e7f381dc920a143f4717659f1ff,config/tries/v3_try_048_fine_grained_evidence.yaml,fa0cbdf83b34d4392c22ca96031c3e32313d448083eaf15b9ff39323bf195ede,7,50,150,21171,141,1e-4,1e-4,completed,79.758894,76.615125,78.155408,85.828280,11280,,1.506388,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/fine-grained-evidence/V3-TRY-048,keep_matched_parent
V3-TRY-050,TG_PLUS_GTD_PLUS_PCPC_FRESH,pcpc,7d184a41b8bc9e7f381dc920a143f4717659f1ff,config/tries/v3_try_050_fine_grained_evidence.yaml,79b5a4222cdb2478efdef4a8e284c240bc83a2b1fa79114df58410c9b22ebd44,7,50,150,21171,141,1e-4,1e-4,completed,78.604460,77.336574,77.965362,85.342348,11280,-0.190046,-0.190046,/data/lby/projects/cv_project/GZSL_Warehouse/tries/v3/fine-grained-evidence/V3-TRY-050,drop
