run_id,dataset,strategy,seed,code_semantics_commit,config_ref,config_sha256,asset_id,status,U,S,H,ZS,selected_iteration,selected_stage,test_used_for_selection,output_uri,decision
CUB-END2END-S7,CUB,end_to_end_joint,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-003_multidataset_training_strategy/configs/CUB-END_TO_END-SEED7.yaml,a4e2e357c0eeaf05014cb3f8b710bd4a1728d8aefe164b9938d0cffd05901c55,f61a4af0d7644477,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-003_multidataset_training_strategy/CUB-END2END-S7,run
CUB-STAGEWISE-S7,CUB,stagewise_50_100_50,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-003_multidataset_training_strategy/configs/CUB-STAGEWISE-SEED7.yaml,a968486e346f5308351467ed4db05d5985ef8e612006583c8c6f1943a5993e63,f61a4af0d7644477,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-003_multidataset_training_strategy/CUB-STAGEWISE-S7,run
AWA2-END2END-S7,AWA2,end_to_end_joint,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-003_multidataset_training_strategy/configs/AWA2-END_TO_END-SEED7.yaml,280270deda81b52840295bf02fe9351807cbc048249273bca3201f1e980df58a,803b2f38aae164e5,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-003_multidataset_training_strategy/AWA2-END2END-S7,run
AWA2-STAGEWISE-S7,AWA2,stagewise_50_100_50,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-003_multidataset_training_strategy/configs/AWA2-STAGEWISE-SEED7.yaml,505ca3da9efb683fa46fac8bdcb966a22c456aac35fd59a6df91500df0bd2010,803b2f38aae164e5,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-003_multidataset_training_strategy/AWA2-STAGEWISE-S7,run
SUN-END2END-S7,SUN,end_to_end_joint,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-003_multidataset_training_strategy/configs/SUN-END_TO_END-SEED7.yaml,f28cee1007406d9e1e40560d87392a08c7d0a33e7ad3c6ac350bfa41fd2154db,baaea1e1bfdc31e4,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-003_multidataset_training_strategy/SUN-END2END-S7,run
SUN-STAGEWISE-S7,SUN,stagewise_50_100_50,7,b7e25c2758da896411236c2ea60662439a01244b,experiments/v2/ablation/ABLATION-003_multidataset_training_strategy/configs/SUN-STAGEWISE-SEED7.yaml,b83ea9fbc8a4bbe71743e4e00df57253c8f6a7923ec17c456274c73aef37aca5,baaea1e1bfdc31e4,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/ablation/v2/ABLATION-003_multidataset_training_strategy/SUN-STAGEWISE-S7,run
