run_id,code_commit,config_ref,config_sha256,seed,status,U,S,H,ZS,selected_iteration,learned_beta,test_used_for_selection,output_uri,decision
RUN-001,511b582d35cc1a5f8fb7f66f32c20d331efc2309,experiments/v2/innovation/INNOVATION-015_ccpe/configs/RUN-001.yaml,ba78ded06b0faeb2ed83d5d2843df4cc11da217712fd8d95be600c922be8f7a8,5,completed,75.883502,79.264784,77.537297,83.202559,987,9.636184,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-015_ccpe/RUN-001,keep_weak_below_gate
RUN-002,6829ba75ef69ee4356439d587b98021bdafac8d0,experiments/v2/innovation/INNOVATION-015_ccpe/configs/RUN-002.yaml,7fdf3d031a9a6b0e2d43a20e8d28a1db1e0d0d8e652859e2f06a005af5e3495f,5,completed,76.052994,79.164737,77.577674,83.204818,141,6.302845,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-015_ccpe/RUN-002,keep_weak_below_gate
RUN-003,,experiments/v2/innovation/INNOVATION-015_ccpe/configs/RUN-003.yaml,321e8e2d0c4efe7a6aa12dcb11315c866e65cffcac960dd708f30feb08e2f6ad,5,planned,,,,,,,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-015_ccpe/RUN-003,pending
