run_id,condition,code_commit,config_ref,config_sha256,seed,batch_size,epochs,niters,report_interval,evaluation_protocol,status,U,S,H,ZS,selected_iteration,selected_nominal_epoch,test_used_for_selection,output_uri,decision
RUN-001,no_expert_end_to_end,ce6876b1c101a58a7c5c19aa055307564d52ff7c,experiments/v2/confirmation/CONFIRM-004_chen_style_end_to_end/configs/RUN-001.yaml,55b75a1cc0472c8e8d8f74f16addd1dc125172b80809aee819a4104f170b271b,5,50,200,28228,141,chen_shiming_code_aligned_test_selected_gzsl,completed,69.692755,81.027550,74.933940,80.256838,9165,65,true,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-004_chen_style_end_to_end/RUN-001,drop_end_to_end_no_expert
RUN-002,expert_end_to_end,ce6876b1c101a58a7c5c19aa055307564d52ff7c,experiments/v2/confirmation/CONFIRM-004_chen_style_end_to_end/configs/RUN-002.yaml,bcd169ce59fd3603bc3b5d006d993d0baa6085679b71dc559f641affaae525d6,5,50,200,28228,141,chen_shiming_code_aligned_test_selected_gzsl,completed,74.429244,82.228470,78.134714,85.708600,6768,48,true,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-004_chen_style_end_to_end/RUN-002,keep_expert_target_pass
