run_id,dataset,condition,training_strategy,seed,code_semantics_commit,execution_commit,config_ref,config_sha256,asset_id,status,U,S,H,ZS,selected_iteration,selected_stage,test_used_for_selection,output_uri,metrics_sha256,data_fingerprints_sha256,model_sha256,checkpoint_last_sha256,evaluation_history_sha256,decision
CUB-B0-CANONICAL-S7,CUB,B0_CANONICAL_CLASS_NAME,no_training,7,d0b3d6943b8f1ed5555df2dc48f0b0743ad12538,6e2c3ad0b10dda03c5abdef604b76685711b3f54,git:6e2c3ad0b10dda03c5abdef604b76685711b3f54:experiments/v2/confirmation/CONFIRM-012_canonical_class_names/configs/CUB-B0_CANONICAL.yaml,1bc87c2fddab03cffc4daf5b1803fc55bf7e59aad8532ab519eac9e07c9c1549,4aee52e1a1360969,failed_runtime,69.102371,68.327487,68.712744,86.180097,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-012_canonical_class_names/CUB-B0-CANONICAL-S7,458be986d2b7cff1bc160caaa2b46916c04b2bd54072f03afcf3b5483656b283,8d06ffa1fda17558b73f2435849bd3be18d7ee46240a66e89ce01cb7e3b56fdb,a888c79aa306dfa5bfffc57c2bb78c8db4a4e632c1c971e98cedb131904b7462,a888c79aa306dfa5bfffc57c2bb78c8db4a4e632c1c971e98cedb131904b7462,73a6ca6bfa325353c540b1c082bc62d8ed71e419be67675811658fd7a7a0079d,invalid_condition_id_mean8_fallback
AWA2-B0-CANONICAL-S7,AWA2,B0_CANONICAL_CLASS_NAME,no_training,7,d0b3d6943b8f1ed5555df2dc48f0b0743ad12538,6e2c3ad0b10dda03c5abdef604b76685711b3f54,git:6e2c3ad0b10dda03c5abdef604b76685711b3f54:experiments/v2/confirmation/CONFIRM-012_canonical_class_names/configs/AWA2-B0_CANONICAL.yaml,bf6e62143e0bdb70683ac588df8f637f9772c302ca9dc6ee7ac55d83df8f0b2b,b72e978b7fc42fa0,failed_runtime,94.698161,95.832998,95.262200,99.173242,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-012_canonical_class_names/AWA2-B0-CANONICAL-S7,a88062c6427e4c87d97a581b79084b0f266f42ea8341dd0529df3e5eaafa84ed,db3aa325f98576b50ee18d01217e0e3c3d9732597fa227c4e57a509ab4bd019f,dc9d2399ad90259dc5d742d47f99e4c99cca4c66926b7be388497cd96373f6cb,dc9d2399ad90259dc5d742d47f99e4c99cca4c66926b7be388497cd96373f6cb,c3d286cc7246dada614190ed1d4a485ec99314c95b6ad6fee4322ac686a2dfa3,invalid_condition_id_mean8_fallback
CUB-B0-CANONICAL-R1-S7,CUB,B0_PURE_CLIP,no_training,7,2fc5312647b55e13e36e2b30d16479d713c8bbe4,2fc5312647b55e13e36e2b30d16479d713c8bbe4,experiments/v2/confirmation/CONFIRM-012_canonical_class_names/configs/CUB-B0_CANONICAL.yaml,81da6225d8dedc35650b3820558b054e88ea5b8658c66278b1f54ecdec2b8a74,4aee52e1a1360969,completed,66.659337,64.135945,65.373300,83.267671,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-012_canonical_class_names/CUB-B0-CANONICAL-R1-S7,c997915f94f80492be58f8870ab64f41c34f9b1baacc34cb7f3e9abbb3ea7648,8d06ffa1fda17558b73f2435849bd3be18d7ee46240a66e89ce01cb7e3b56fdb,97328d998205b9c1f6072510491fdada60218a98cf4b77dee23b49d6eadcf4ec,97328d998205b9c1f6072510491fdada60218a98cf4b77dee23b49d6eadcf4ec,3217c9f9853d2d0b298224751ab696f4ddef37688c5e5714ec9ad50363e2abc2,keep_canonical_B0
AWA2-B0-CANONICAL-R1-S7,AWA2,B0_PURE_CLIP,no_training,7,2fc5312647b55e13e36e2b30d16479d713c8bbe4,2fc5312647b55e13e36e2b30d16479d713c8bbe4,experiments/v2/confirmation/CONFIRM-012_canonical_class_names/configs/AWA2-B0_CANONICAL.yaml,5801acc9921c2a46bb2ff831aeac9e7233d9c61cb8a6c575233cfa43e006fbe3,b72e978b7fc42fa0,completed,89.462012,96.869725,93.018620,97.486526,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-012_canonical_class_names/AWA2-B0-CANONICAL-R1-S7,b096508659ad3722ccf63d8deb0b9e2fa6e910a442176c7043f150480868dcf5,db3aa325f98576b50ee18d01217e0e3c3d9732597fa227c4e57a509ab4bd019f,32197c675bacbb9ea9f5269281687279eb15877aa1258877240313be3cd2dd3b,32197c675bacbb9ea9f5269281687279eb15877aa1258877240313be3cd2dd3b,862a7264ee33bbbba1c689fa116ecb8f4c2288b828e2b541f46dd0dba0178786,keep_canonical_B0
SUN-B0-CANONICAL-S7,SUN,B0_PURE_CLIP,no_training,7,2fc5312647b55e13e36e2b30d16479d713c8bbe4,2fc5312647b55e13e36e2b30d16479d713c8bbe4,experiments/v2/confirmation/CONFIRM-012_canonical_class_names/configs/SUN-B0_CANONICAL.yaml,79fde6d1b5ed4c981877f0db5c26bbcc17a739d99de447a03a65b936c16ab365,5e9c8308ebc5b075,completed,60.208338,60.736436,60.471234,89.652783,,NO_TRAINING,false,/data/lby/projects/cv_project/GZSL_Warehouse/final/v2/CONFIRM-012_canonical_class_names/SUN-B0-CANONICAL-S7,9c3f8a566fe025c83421686c4cd29e5c6f2aba82527855b0b9ce0e10b2fc4cf3,73663eff4985442b6ac41d7a5a2149976228bc09e234595008e8d027326c0355,526de4ed50b25f69153486d992faf3f2d436a2297580fd370fd03ae1deda4eed,526de4ed50b25f69153486d992faf3f2d436a2297580fd370fd03ae1deda4eed,5d919bc6bdbb4c8c96a5099b7a72c226fa85e8fd2e6bc767f66bd7effe4e4222,keep_canonical_B0
