run_id,code_commit,config_ref,config_sha256,seed,status,U,S,H,ZS,selected_iteration,pair_count,selector_bias,test_used_for_selection,output_uri,decision
RUN-001,372d26f25a95f3197f9b7ee9021a2b925cce59d0,experiments/v2/innovation/INNOVATION-078_rdss/configs/RUN-001.yaml,94a99d0b61d9283f03cf13153cdf35b38d87ea5ac400bcf02b229db2bdb2396b,5,completed,76.915932,80.265528,78.555039,84.053975,705,4458,0.020039,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-078_rdss/RUN-001,keep_new_high_test_seed7
RUN-002,376c347a514198fdfc7f3917642f9a525a1840e5,experiments/v2/innovation/INNOVATION-078_rdss/configs/RUN-002.yaml,0860be99b0ce8e2093f67dfb145a53327267d26b48be79a462e2302bf42d88b6,7,completed,76.914233,80.009395,78.431289,84.020644,705,4465,0.040186,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-078_rdss/RUN-002,keep_highest_seed_stage_rescue
RUN-003,f95544256c87406b76c959593e363f2f7b56994e,experiments/v2/innovation/INNOVATION-078_rdss/configs/RUN-003.yaml,ebbea3d74cc20f4b02a2909f37a670fff51cd8ee2808bf3de5e3350a10f92e6e,6,completed,76.747000,80.020505,78.349575,83.953977,282,4458,0.050204,true,/data/lby/projects/cv_project/GZSL_Warehouse/innovation/v2/INNOVATION-078_rdss/RUN-003,keep_highest_seed_not_stable
